year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80,16,4.78,2.56,1.98,0,6.68,0,2,1071,165,326,62,0,518
2024,1,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62,9,2.2,0.92,1.38,0,4.49,2,2,589,128,94,93,0,274
2024,1,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",74,15,6.24,0,2.66,0,6.1,1,0,1285,461,0,106,0,718
2024,1,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",101,23,3.27,1.29,9.7,0,8.75,5,0,1372,148,35,412,0,777
2024,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2511,621,120.86,28.26,158.02,0,313.87,68,12,62759,14782,4772,7585,0,35620
2024,1,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",20,1,0,0,0,0,1,0,0,84,0,0,0,0,84
2024,1,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",47,15,4.02,0,9.98,0,1,1,1,791,204,0,459,0,128
2024,1,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",48,9,3.33,0,4.87,0,0.8,0,0,391,70,0,192,0,129
2024,1,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",13,2,0,0,2,0,0,0,0,48,0,0,48,0,0
2024,1,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",53,12,0.92,0.4,3.84,0,6.83,3,0,741,99,17,187,0,438
2024,1,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",32,9,2.81,2.33,1.42,0,2.43,5,0,1306,199,754,77,0,276
2024,1,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",88,19,3.54,1,7.85,0,6.61,7,0,1802,876,81,479,0,366
2024,1,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",105,25,6,1.76,6.27,0,10.97,7,1,1638,399,60,290,0,889
2024,1,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62,17,6.24,5.43,2.61,0,2.71,2,1,4278,346,3040,677,0,215
2024,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",81,15,1.85,0,6.93,0,6.22,5,0,1399,223,0,475,0,701
2024,1,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",83,25,11.53,1.94,6.43,0,5.1,4,0,2099,594,684,270,0,551
2024,1,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",129,33,10.32,2,7.66,0,13.03,5,1,3461,484,1346,450,0,1181
2024,1,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",142,27,10.15,1,9.82,0,6.04,23,0,2248,1053,16,557,0,622
2024,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",35,7,0.98,0.98,2.53,0,2.51,1,0,953,38,594,131,0,190
2024,1,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",82,21,8.32,1,3.73,0,7.95,2,0,1609,507,223,228,0,651
2024,1,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",128,28,7.62,1.92,4.44,0,14.02,3,1,1464,317,114,213,0,820
2024,1,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",151,32,11.67,1.38,4.74,0,14.21,8,0,2433,736,60,190,0,1447
2024,1,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",146,37,7.91,0.18,14.51,0,14.4,7,0,2858,579,36,853,0,1390
2024,1,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",16,3,0.23,1.9,0.87,0,0,0,0,151,9,110,32,0,0
2024,1,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",224,32,10.65,4.59,11.6,0,5.15,9,0,2574,921,407,500,0,746
2024,1,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",257,46,9.67,0.74,20.59,0,14.99,17,0,2778,718,30,825,0,1205
2024,1,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",18,1,0.47,0,0.53,0,0,0,0,30,14,0,16,0,0
2024,1,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",13,1,1,0,0,0,0,0,0,37,37,0,0,0,0
2024,1,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",2,1,0.12,0,0,0,0.88,0,0,33,4,0,0,0,29
2024,1,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",523,129,27,6.33,30.57,0,65.1,13,0,10611,3312,583,1704,0,5012
2024,1,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",62,10,3.05,0.97,1.57,0,4.42,2,0,1567,341,675,71,0,480
2024,1,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",47,9,4.14,0,0.46,0,4.4,0,0,799,299,0,17,0,483
2024,1,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",156,35,11.07,0,14.08,0,9.85,8,0,2134,617,0,833,0,684
2024,1,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",62,18,9.8,1,0.85,0,6.35,0,0,2696,2074,283,45,0,294
2024,1,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",201,56,13.78,2.59,22.96,0,16.66,9,0,4941,1855,281,1024,0,1781
2024,1,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1201,260,36.97,13.92,66.01,0,143.1,33,3,19739,3943,1515,3530,0,10751
2024,1,9E,Endeavor Air Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",24,11,2.96,0.05,2.73,0,5.27,0,1,723,209,11,70,0,433
2024,1,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",69,14,6.96,1.85,0.5,0,4.7,2,0,1539,444,691,43,0,361
2024,1,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",122,31,8.09,0.66,16.44,0,5.81,2,0,2387,612,54,1080,0,641
2024,1,9E,Endeavor Air Inc.,EYW,"Key West, FL: Key West International",34,13,3.94,2.1,2.22,0,4.75,0,0,2476,444,1545,159,0,328
2024,1,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",52,9,3.71,0,1.78,0,3.52,0,0,820,392,0,38,0,390
2024,1,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",22,3,1,0.75,0.59,0,0.67,0,0,247,51,76,60,0,60
2024,1,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",14,6,2.47,0,2.35,0,1.18,0,0,232,139,0,65,0,28
2024,1,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",43,8,1.8,1,1.14,0,4.05,1,0,448,83,29,35,0,301
2024,1,9E,Endeavor Air Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",94,21,6.32,3.1,4.91,0,6.66,8,0,3126,280,2005,189,0,652
2024,1,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",41,8,1.48,0,2.78,0,3.74,0,0,494,170,0,80,0,244
2024,1,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",18,7,2,0,5,0,0,0,0,183,49,0,134,0,0
2024,1,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",11,2,0.37,1,0,0,0.63,0,0,75,18,26,0,0,31
2024,1,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",91,26,9.16,5.38,5.68,0,5.78,8,0,3270,975,1477,261,0,557
2024,1,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",127,26,9.53,0.07,6.05,0,10.35,5,0,1622,539,4,239,0,840
2024,1,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",97,24,6.81,0.97,3.65,0,12.58,5,3,2231,607,56,252,0,1316
2024,1,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",62,12,4.04,1.88,0.68,0,5.39,6,0,1879,291,940,65,0,583
2024,1,9E,Endeavor Air Inc.,HPN,"White Plains, NY: Westchester County",77,22,5.78,2.81,6.43,0,6.98,1,0,1442,520,229,236,0,457
2024,1,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",119,26,7.21,3.85,7.74,0,7.2,6,0,1847,463,254,244,0,886
2024,1,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",64,12,3.86,0,5.01,0,3.14,1,0,783,352,0,266,0,165
2024,1,9E,Endeavor Air Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",53,13,4.99,0.75,3.69,0,3.56,0,0,478,180,23,105,0,170
2024,1,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",67,19,9.51,1.93,0.83,0,6.73,1,0,1681,684,147,104,0,746
2024,1,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",129,21,4.44,0.99,4.82,0,10.76,7,0,2662,261,379,301,0,1721
2024,1,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",62,12,2.84,1.13,3.17,0,4.86,5,0,700,207,137,118,0,238
2024,1,9E,Endeavor Air Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",9,1,0,0,1,0,0,0,0,21,0,0,21,0,0
2024,1,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",89,17,3.07,0,5.66,0,8.27,2,0,1219,259,0,296,0,664
2024,1,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1428,276,64.68,15.91,90.86,0,104.55,69,1,28959,8745,3167,7085,0,9962
2024,1,9E,Endeavor Air Inc.,LAN,"Lansing, MI: Capital Region International",34,14,6.06,2.23,3.43,0,2.28,1,0,1263,732,279,81,0,171
2024,1,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",58,6,4.48,0,0.18,0,1.34,0,0,448,276,0,22,0,150
2024,1,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",74,31,11.8,4.29,9.39,0,5.52,3,0,2375,528,959,400,0,488
2024,1,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2396,461,83.97,34.77,181.3,0,160.97,163,6,49152,9978,7003,16946,0,15225
2024,1,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",32,8,1.47,1.55,0.53,0,4.45,1,0,857,216,166,27,0,448
2024,1,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",93,20,4.08,0.68,7.69,0,7.55,4,0,1316,196,92,517,0,511
2024,1,9E,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",68,14,6.51,1.29,3.76,0,2.44,2,0,1008,694,63,117,0,134
2024,1,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",85,22,5.79,1.15,6.85,0,8.21,4,0,1435,422,235,337,0,441
2024,1,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",46,12,3.4,2.07,1.96,0,4.58,0,0,672,118,252,68,0,234
2024,1,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",7,2,0,0,0.98,0,1.03,0,0,83,0,0,39,0,44
2024,1,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",45,8,1.16,0,3.46,0,3.38,4,1,429,48,0,131,0,250
2024,1,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad Cities International",62,15,7.18,2.88,2.63,0,2.3,4,1,2068,439,1363,104,0,162
2024,1,9E,Endeavor Air Inc.,MLU,"Monroe, LA: Monroe Regional",62,16,6.99,0.68,1.86,0.47,6,2,0,2335,1362,237,65,9,662
2024,1,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",33,6,2.69,0,0.33,0,2.98,1,0,360,137,0,19,0,204
2024,1,9E,Endeavor Air Inc.,MQT,"Marquette, MI: Marquette Sawyer Regional",31,5,1.13,0,1.71,0,2.16,3,0,152,29,0,33,0,90
2024,1,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",38,1,0,0,1,0,0,0,0,15,0,0,15,0,0
2024,1,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",711,121,37.13,6.26,27.1,0,50.51,16,0,11552,4177,1147,994,0,5234
2024,1,9E,Endeavor Air Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",2,1,1,0,0,0,0,0,0,22,22,0,0,0,0
2024,1,9E,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",31,12,4.36,0,1.88,0,5.76,0,0,868,223,0,125,0,520
2024,1,9E,Endeavor Air Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",36,5,2,0.86,0.09,0,2.05,0,1,449,72,145,14,0,218
2024,1,9E,Endeavor Air Inc.,OMA,"Omaha, NE: Eppley Airfield",31,3,0.87,0,0.28,0,1.85,1,0,95,27,0,8,0,60
2024,1,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",163,38,13.17,2,12.88,0,9.95,8,0,2187,749,91,554,0,793
2024,1,9E,Endeavor Air Inc.,ORH,"Worcester, MA: Worcester Regional",22,4,2.93,0,1.07,0,0,4,0,86,63,0,23,0,0
2024,1,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",50,17,3.61,1.89,6.72,0,4.77,0,0,730,308,100,176,0,146
2024,1,9E,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",158,43,17.14,2.24,15.73,0,7.89,5,1,2751,1393,84,696,0,578
2024,1,9E,Endeavor Air Inc.,PNS,"Pensacola, FL: Pensacola International",43,9,2.77,1.75,3.83,0,0.65,1,0,697,193,177,259,0,68
2024,1,9E,Endeavor Air Inc.,PVD,"Providence, RI: Rhode Island Tf Green International",115,23,5.11,3.06,6.32,0,8.51,8,0,3495,508,1388,1049,0,550
2024,1,9E,Endeavor Air Inc.,PWM,"Portland, ME: Portland International Jetport",162,38,11.41,1.17,14.5,0,10.92,9,0,2528,505,188,747,0,1088
2024,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",472,146,35.34,4.67,36.79,0,69.2,15,1,12180,2769,708,1817,0,6886
2024,1,9E,Endeavor Air Inc.,RIC,"Richmond, VA: Richmond International",145,30,8.58,0.9,8.21,0,12.31,4,0,2447,709,184,561,0,993
2024,1,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",83,22,8.8,2.82,2.4,0,7.99,5,0,2005,690,426,73,0,816
2024,1,9E,Endeavor Air Inc.,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",202,64,14.57,2.42,20.25,0,26.76,12,0,4328,990,124,1053,0,2161
2024,1,9E,Endeavor Air Inc.,RST,"Rochester, MN: Rochester International",62,13,2.72,4.12,3.12,0,3.05,4,0,1834,235,1177,112,0,310
2024,1,9E,Endeavor Air Inc.,RSW,"Fort Myers, FL: Southwest Florida International",7,2,0,0,2,0,0,0,1,61,0,0,61,0,0
2024,1,9E,Endeavor Air Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",171,47,9.43,0,21.95,0.31,15.31,8,0,2950,1018,0,745,42,1145
2024,1,9E,Endeavor Air Inc.,SBN,"South Bend, IN: South Bend International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,9E,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",30,8,1.12,1,4.36,0,1.52,0,0,1229,931,54,159,0,85
2024,1,9E,Endeavor Air Inc.,SGF,"Springfield, MO: Springfield-Branson National",67,19,9.97,4.19,1.4,0,3.44,0,1,2254,386,1450,77,0,341
2024,1,9E,Endeavor Air Inc.,SHV,"Shreveport, LA: Shreveport Regional",49,10,2.82,2.56,2.54,0.54,1.55,5,0,1660,698,638,104,22,198
2024,1,9E,Endeavor Air Inc.,STL,"St. Louis, MO: St Louis Lambert International",145,30,13.13,0,7.42,0,9.45,9,0,1995,608,0,302,0,1085
2024,1,9E,Endeavor Air Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",138,31,7.31,1.67,12.89,0,9.13,5,0,2100,616,88,625,0,771
2024,1,9E,Endeavor Air Inc.,TLH,"Tallahassee, FL: Tallahassee International",71,19,7.67,1.24,6.25,0,3.84,0,1,1132,528,35,290,0,279
2024,1,9E,Endeavor Air Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",64,13,6.59,1,0.87,0,4.54,2,0,858,446,15,49,0,348
2024,1,9E,Endeavor Air Inc.,TUL,"Tulsa, OK: Tulsa International",31,10,3.34,1,2.53,0,3.14,0,0,627,120,31,88,0,388
2024,1,9E,Endeavor Air Inc.,TVC,"Traverse City, MI: Cherry Capital",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,9E,Endeavor Air Inc.,TYS,"Knoxville, TN: McGhee Tyson",250,58,23.28,4.36,9.71,0,20.64,12,0,4764,2004,413,567,0,1780
2024,1,9E,Endeavor Air Inc.,VLD,"Valdosta, GA: Valdosta Regional",62,12,7.42,0,0.08,0,4.5,0,1,453,315,0,2,0,136
2024,1,9E,Endeavor Air Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",2,2,0,1,1,0,0,0,0,54,0,32,22,0,0
2024,1,9E,Endeavor Air Inc.,XNA,"Fayetteville, AR: Northwest Arkansas National",112,21,7.57,1,3.09,0,9.35,2,3,1394,467,69,105,0,753
2024,1,AA,American Airlines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",250,87,26.79,4.12,12.72,0,43.37,5,1,6760,2648,468,565,0,3079
2024,1,AA,American Airlines Network,ALB,"Albany, NY: Albany International",123,33,14.12,0.98,3.84,0.39,13.67,1,0,2943,1011,176,186,13,1557
2024,1,AA,American Airlines Network,AMA,"Amarillo, TX: Rick Husband Amarillo International",83,28,8.07,1.86,4.69,0,13.38,4,2,3146,1354,58,212,0,1522
2024,1,AA,American Airlines Network,ANC,"Anchorage, AK: Ted Stevens Anchorage International",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",547,200,62.97,9.49,38.16,0.78,88.61,4,0,13160,3723,912,1624,25,6876
2024,1,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1201,404,94.6,13.24,121.72,1.28,173.17,14,8,34417,9540,1743,5468,36,17630
2024,1,AA,American Airlines Network,AVL,"Asheville, NC: Asheville Regional",12,1,0.03,0,0.02,0,0.95,0,0,134,4,0,3,0,127
2024,1,AA,American Airlines Network,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",61,22,5.62,1.18,0.35,1,13.84,1,0,3121,614,761,25,53,1668
2024,1,AA,American Airlines Network,BDL,"Hartford, CT: Bradley International",214,64,14.93,3.12,7.91,0.26,37.78,6,0,3468,553,143,372,5,2395
2024,1,AA,American Airlines Network,BFL,"Bakersfield, CA: Meadows Field",61,17,3.72,0.85,0.74,0,11.69,0,0,1454,138,174,32,0,1110
2024,1,AA,American Airlines Network,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",62,27,9.72,1.57,2.86,0,12.85,0,0,2800,843,178,122,0,1657
2024,1,AA,American Airlines Network,BNA,"Nashville, TN: Nashville International",605,203,63.83,7.05,38.34,0.67,93.11,42,2,14149,4947,500,1571,21,7110
2024,1,AA,American Airlines Network,BOI,"Boise, ID: Boise Air Terminal",68,30,13.92,0.97,6.11,0,9.01,1,0,2251,963,121,375,0,792
2024,1,AA,American Airlines Network,BOS,"Boston, MA: Logan International",1247,356,103.87,17.55,76.07,1.43,157.07,27,5,27434,7258,3202,4263,41,12670
2024,1,AA,American Airlines Network,BTV,"Burlington, VT: Burlington International",48,15,4.21,1.08,5.23,0,4.48,1,0,1940,448,706,350,0,436
2024,1,AA,American Airlines Network,BUF,"Buffalo, NY: Buffalo Niagara International",126,38,11.54,3.44,4.81,0.26,17.95,12,1,3216,1257,143,156,18,1642
2024,1,AA,American Airlines Network,BUR,"Burbank, CA: Bob Hope",115,38,11.35,0.91,9.22,0,16.52,0,0,3581,1515,67,544,0,1455
2024,1,AA,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",263,99,27.93,5.69,15.42,1.22,48.75,4,1,6429,1478,668,677,65,3541
2024,1,AA,American Airlines Network,BZN,"Bozeman, MT: Bozeman Yellowstone International",85,26,7.96,0.64,11.96,0,5.44,0,2,1970,552,96,683,0,639
2024,1,AA,American Airlines Network,CAE,"Columbia, SC: Columbia Metropolitan",62,30,10.01,3.13,1.18,0,15.69,2,0,4271,1703,949,121,0,1498
2024,1,AA,American Airlines Network,CHS,"Charleston, SC: Charleston AFB/International",307,92,31.26,1.57,11.1,0.23,47.85,4,1,7483,2757,114,481,7,4124
2024,1,AA,American Airlines Network,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",111,36,11.41,1.32,10.09,1,12.19,11,3,4076,1030,464,413,37,2132
2024,1,AA,American Airlines Network,CLE,"Cleveland, OH: Cleveland-Hopkins International",378,125,36.27,6.89,16.96,1.06,63.82,17,0,8063,2066,734,936,51,4276
2024,1,AA,American Airlines Network,CLT,"Charlotte, NC: Charlotte Douglas International",9965,2377,606.25,103.36,650.99,8.18,1008.22,112,21,227004,76566,17300,31938,1291,99909
2024,1,AA,American Airlines Network,CMH,"Columbus, OH: John Glenn Columbus International",250,84,22.86,2.56,8.79,1,48.79,3,0,5564,1309,357,310,39,3549
2024,1,AA,American Airlines Network,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",91,28,6.22,3.65,3.68,0.42,14.02,0,0,3217,569,789,232,76,1551
2024,1,AA,American Airlines Network,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",253,84,21.82,3.09,11.6,0.06,47.43,1,1,7488,2255,145,549,7,4532
2024,1,AA,American Airlines Network,DAB,"Daytona Beach, FL: Daytona Beach International",57,18,4.69,2.89,1.02,0,9.4,0,0,1505,236,132,43,0,1094
2024,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2098,540,135.99,25.55,118.77,6.95,252.74,67,25,47731,14150,3480,5460,1271,23370
2024,1,AA,American Airlines Network,DEN,"Denver, CO: Denver International",687,227,83.91,12.36,47.04,0.35,83.35,10,0,14659,4768,1298,1722,27,6844
2024,1,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13036,4076,856.61,224.95,1300.94,14.66,1678.84,263,31,408521,125584,29299,66645,517,186476
2024,1,AA,American Airlines Network,DSM,"Des Moines, IA: Des Moines International",227,74,20.95,2.06,14.68,0,36.31,10,0,8275,2989,625,696,0,3965
2024,1,AA,American Airlines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",324,94,34.73,3.71,12.32,1,42.24,13,3,7335,2443,247,631,19,3995
2024,1,AA,American Airlines Network,ECP,"Panama City, FL: Northwest Florida Beaches International",14,2,0.79,0,0.05,0,1.16,0,0,402,103,0,6,0,293
2024,1,AA,American Airlines Network,EGE,"Eagle, CO: Eagle County Regional",252,85,29.21,3.9,33.29,0,18.6,2,0,8329,4595,458,1538,0,1738
2024,1,AA,American Airlines Network,ELP,"El Paso, TX: El Paso International",196,64,20.5,3.77,8.53,0.31,30.88,5,0,6769,2313,1194,409,10,2843
2024,1,AA,American Airlines Network,EUG,"Eugene, OR: Mahlon Sweet Field",54,16,5.58,0.23,2.57,0,7.61,5,1,2000,345,261,81,0,1313
2024,1,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",529,178,40.11,6.77,51.94,2.19,76.98,11,1,11188,2610,514,2114,48,5902
2024,1,AA,American Airlines Network,EYW,"Key West, FL: Key West International",213,68,15.6,3.49,23.85,0.1,24.95,3,5,5020,1426,307,805,9,2473
2024,1,AA,American Airlines Network,FAT,"Fresno, CA: Fresno Yosemite International",185,57,19.52,1.92,8.7,0,26.85,1,0,3480,1140,248,555,0,1537
2024,1,AA,American Airlines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",641,187,43.39,8.37,61.84,0,73.4,5,2,12587,3315,884,2739,0,5649
2024,1,AA,American Airlines Network,FSD,"Sioux Falls, SD: Joe Foss Field",14,5,3.45,0,0,0,1.55,0,0,185,104,0,0,0,81
2024,1,AA,American Airlines Network,GEG,"Spokane, WA: Spokane International",117,44,13.93,1.19,13.59,0,15.29,0,0,3856,989,86,573,0,2208
2024,1,AA,American Airlines Network,GRR,"Grand Rapids, MI: Gerald R. Ford International",198,67,17.74,3.67,11.29,0.78,33.53,9,2,5065,1333,337,511,35,2849
2024,1,AA,American Airlines Network,GSO,"Greensboro/High Point, NC: Piedmont Triad International",111,34,5.73,2.49,1.69,0.07,24.03,1,0,2817,283,273,155,9,2097
2024,1,AA,American Airlines Network,GSP,"Greer, SC: Greenville-Spartanburg International",109,48,14.85,4.2,6.4,0,22.56,0,0,6157,1191,1470,302,0,3194
2024,1,AA,American Airlines Network,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",38,14,5.82,1.1,2.59,0,4.49,0,1,1253,247,144,136,0,726
2024,1,AA,American Airlines Network,HDN,"Hayden, CO: Yampa Valley",54,14,3.88,2.07,2.32,0,5.74,0,2,1047,175,286,196,0,390
2024,1,AA,American Airlines Network,HNL,"Honolulu, HI: Daniel K Inouye International",200,67,22.48,2.24,34.74,0,7.54,0,0,2708,1133,172,1016,0,387
2024,1,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",62,22,7.75,0.09,3.94,0,10.22,2,0,1495,601,6,151,0,737
2024,1,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",2748,522,262.2,158.98,61.33,1.92,37.57,41,2,49544,23397,19432,3617,60,3038
2024,1,OO,SkyWest Airlines Inc.,SLN,"Salina, KS: Salina Regional",61,16,2.49,1,2.69,0,9.82,7,0,1143,131,309,111,0,592
2024,1,OO,SkyWest Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",709,113,54.57,18.45,8.92,0,31.06,3,0,7706,3401,1452,380,0,2473
